iter	RMSE
0	1.107925352
1	1.107889702
2	1.107865564
3	1.107828649
4	1.107793537
5	1.107783514
6	1.107749215
7	1.107707417
8	1.107699698
9	1.107651095
10	1.107617422
11	1.107606254
12	1.107573264
13	1.107540924
14	1.107506578
15	1.107474793
16	1.107440477
17	1.107431927
18	1.10741713
19	1.107385946
20	1.107379036
21	1.107348424
22	1.107305162
23	1.107262752
24	1.107253113
25	1.10721945
26	1.107173823
27	1.107137925
28	1.107125813
29	1.107116095
30	1.107081805
31	1.107072309
32	1.10706043
33	1.107054527
34	1.107020849
35	1.106999568
36	1.106966799
37	1.106936757
38	1.106930211
39	1.106904221
40	1.106872087
41	1.106840571
42	1.106811021
43	1.10676745
44	1.106756254
45	1.106745498
46	1.10672239
47	1.106682163
48	1.106651346
49	1.106643976
50	1.106614957
51	1.106577007
52	1.106547419
53	1.106516445
54	1.106487886
55	1.106459889
56	1.106432446
57	1.106405543
58	1.106379171
59	1.106339843
60	1.106314011
61	1.106307979
62	1.106296479
63	1.106274088
64	1.106272387
65	1.106237275
66	1.106228213
67	1.106198269
68	1.106168088
69	1.106138487
70	1.106125559
71	1.106124351
72	1.106119151
73	1.106104553
74	1.106074989
75	1.106070809
76	1.106041914
77	1.106027722
78	1.106018523
79	1.105990179
80	1.105964754
81	1.105943225
82	1.105932929
83	1.105893827
84	1.105858086
85	1.105824246
86	1.105796505
87	1.105787392
88	1.105778455
89	1.105769692
90	1.105731507
91	1.105704302
92	1.105679581
93	1.105652898
94	1.105628663
95	1.105628355
96	1.105597724
97	1.105571515
98	1.105534295
99	1.105510576
100	1.105502334
101	1.105501996
102	1.105467212
103	1.105443989
104	1.105421224
105	1.105401107
106	1.105371725
107	1.105349443
108	1.105341565
109	1.105312729
110	1.10529099
111	1.105265268
112	1.10524004
113	1.105203855
114	1.105179113
115	1.105154847
116	1.10512412
117	1.10511464
118	1.105080912
119	1.105045925
120	1.105024427
121	1.105012327
122	1.104991274
123	1.104983535
124	1.104964796
125	1.104944201
126	1.104928688
127	1.104916563
128	1.104912175
129	1.104878154
130	1.104876604
131	1.104850689
132	1.104827043
133	1.104803852
134	1.104792652
135	1.104772294
136	1.104752337
