iter	Passed	Remaining
0	0	438
1	0	398
2	1	368
3	1	336
4	1	309
5	1	306
6	2	302
7	2	295
8	2	296
9	2	288
10	3	280
11	3	280
12	3	278
13	3	276
14	4	277
15	4	274
16	4	269
17	4	269
18	5	268
19	5	267
20	5	267
21	5	264
22	6	261
23	6	260
24	6	258
25	6	259
26	7	260
27	7	258
28	7	259
29	8	260
30	8	259
31	8	259
32	8	258
33	9	256
34	9	257
35	9	256
36	9	257
37	10	255
38	10	255
39	10	254
40	10	254
41	11	254
42	11	255
43	11	254
44	11	254
45	12	253
46	12	254
47	12	253
48	13	252
49	13	252
50	13	252
51	13	251
52	14	252
53	14	252
54	14	253
55	15	253
56	15	253
57	15	252
58	15	251
59	16	252
60	16	254
61	16	255
62	17	255
63	17	255
64	17	254
65	18	254
66	18	255
67	18	256
68	19	256
69	19	257
70	19	257
71	19	257
72	20	257
73	20	257
74	20	258
75	21	258
76	21	258
77	21	258
78	22	258
79	22	259
80	22	258
81	23	258
82	23	258
83	23	257
84	23	258
85	24	257
86	24	258
87	24	257
88	25	256
89	25	257
90	25	257
91	26	256
92	26	257
93	26	256
94	26	257
95	27	256
96	27	256
97	27	256
98	28	256
99	28	256
100	28	257
101	29	257
102	29	258
103	29	258
104	30	257
105	30	257
106	30	257
107	31	257
108	31	256
109	31	256
110	31	256
111	32	256
112	32	257
113	33	256
114	33	256
115	33	256
116	33	255
117	34	256
118	34	255
119	34	255
120	35	256
121	35	255
122	35	255
123	36	255
124	36	255
125	36	254
126	37	254
127	37	254
128	37	253
129	37	254
130	38	254
131	38	255
132	39	256
133	39	256
134	40	256
135	40	256
136	40	256
137	41	256
138	41	256
139	41	256
140	42	257
141	42	257
142	42	257
143	43	257
144	43	257
145	44	257
146	44	258
147	44	258
148	45	258
149	45	257
150	45	258
151	46	258
152	46	258
153	47	258
154	47	258
155	47	258
156	48	257
157	48	258
158	48	258
159	49	257
160	49	258
161	49	258
162	50	257
163	50	258
164	50	258
165	51	258
166	51	257
167	52	258
168	52	258
169	52	257
170	53	257
171	53	257
172	53	257
173	54	258
174	54	258
175	55	257
176	55	257
177	55	257
178	56	257
179	56	257
180	56	257
181	57	256
182	57	257
183	57	256
184	58	256
185	58	256
186	58	256
187	59	256
188	59	255
189	59	255
190	60	255
191	60	255
192	61	255
193	61	255
194	61	255
195	62	255
196	62	255
197	63	255
198	63	255
199	63	255
200	64	255
201	64	255
202	64	254
203	65	254
204	65	254
205	65	254
206	66	254
207	66	254
208	67	253
209	67	253
210	67	253
211	67	252
212	68	252
213	68	252
214	69	252
215	69	252
216	69	251
217	70	251
218	70	251
219	71	251
220	71	251
221	71	251
222	72	251
223	72	251
224	72	251
225	73	250
226	73	250
227	73	250
228	74	249
229	74	249
230	74	249
231	75	248
232	75	248
233	75	248
234	76	248
235	76	248
236	76	247
237	77	247
238	77	246
239	77	246
240	77	245
241	78	245
242	78	245
243	79	244
244	79	244
245	79	244
246	80	244
247	80	244
248	80	244
249	81	243
250	81	243
251	81	243
252	82	243
253	82	242
254	83	242
255	83	242
256	83	242
257	84	242
258	84	242
259	84	241
260	85	241
261	85	241
262	86	241
263	86	240
264	86	240
265	87	240
266	87	240
267	87	240
268	88	239
269	88	239
270	88	239
271	89	238
272	89	238
273	90	238
274	90	238
275	90	238
276	91	237
277	91	237
278	91	236
279	92	236
280	92	236
281	92	235
282	92	235
283	94	237
284	94	237
285	95	237
286	95	237
287	95	237
288	96	236
289	96	236
290	96	236
291	97	236
292	97	235
293	98	235
294	98	235
295	98	234
296	99	234
297	99	234
298	99	233
299	100	233
300	100	233
301	100	232
302	101	232
303	101	232
304	101	231
305	102	231
306	102	231
307	102	231
308	103	230
309	103	230
310	103	230
311	104	230
312	104	229
313	104	229
314	105	229
315	105	228
316	106	228
317	106	228
318	106	227
319	107	227
320	107	227
321	107	226
322	108	226
323	108	226
324	109	226
325	109	226
326	109	226
327	110	226
328	110	225
329	111	225
330	111	225
331	111	224
332	112	224
333	112	224
334	112	223
335	113	223
336	113	223
337	113	222
338	114	222
339	114	222
340	114	222
341	115	221
342	115	221
343	115	220
344	116	220
345	116	220
346	116	219
347	117	219
348	117	219
349	117	218
350	118	218
351	118	218
352	118	217
353	119	217
354	119	217
355	119	216
356	120	216
357	120	216
358	120	215
359	121	215
360	121	214
361	121	214
362	122	214
363	122	213
364	122	213
365	123	213
366	123	212
367	123	212
368	124	212
369	124	212
370	124	211
371	125	211
372	125	211
373	125	210
374	126	210
375	126	209
376	126	209
377	127	209
378	127	208
379	127	208
380	128	208
381	128	207
382	128	207
383	129	207
384	129	206
385	129	206
386	130	206
387	130	205
388	130	205
389	131	205
390	131	204
391	131	204
392	132	204
393	132	203
394	132	203
395	133	203
396	133	202
397	133	202
398	134	202
399	134	201
400	134	201
401	135	201
402	135	200
403	135	200
404	136	200
405	136	200
406	137	199
407	137	199
408	137	199
409	138	198
410	138	198
411	138	197
412	138	197
413	139	197
414	139	196
415	139	196
416	140	196
417	140	195
418	140	195
419	141	194
420	141	194
421	141	194
422	142	193
423	142	193
424	142	192
425	142	192
426	143	192
427	143	191
428	143	191
429	144	191
430	144	191
431	145	190
432	145	190
433	145	190
434	146	189
435	146	189
436	146	189
437	147	188
438	147	188
439	147	187
440	148	187
441	148	187
442	148	186
443	149	186
444	149	186
445	149	186
446	150	185
447	150	185
448	150	185
449	151	184
450	151	184
451	151	184
452	152	183
453	152	183
454	152	182
455	153	182
456	153	182
457	153	181
458	154	181
459	154	181
460	154	180
461	154	180
462	155	180
463	155	179
464	155	179
465	156	178
466	156	178
467	156	178
468	157	177
469	157	177
470	157	177
471	158	176
472	158	176
473	158	176
474	158	175
475	159	175
476	159	175
477	160	174
478	160	174
479	160	174
480	160	173
481	161	173
482	161	173
483	162	172
484	162	172
485	162	172
486	163	171
487	163	171
488	163	170
489	163	170
490	164	170
491	164	169
492	164	169
493	165	169
494	165	168
495	165	168
496	166	168
497	166	167
498	166	167
499	167	167
500	167	166
501	167	166
502	167	165
503	168	165
504	168	165
505	168	164
506	169	164
507	169	163
508	169	163
509	169	163
510	170	162
511	170	162
512	171	162
513	171	162
514	171	161
515	172	161
516	172	161
517	172	160
518	173	160
519	173	160
520	173	159
521	174	159
522	174	159
523	174	158
524	175	158
525	175	158
526	176	158
527	176	157
528	176	157
529	177	157
530	177	156
531	177	156
532	178	155
533	178	155
534	178	155
535	178	154
536	179	154
537	179	154
538	179	153
539	180	153
540	180	153
541	181	152
542	181	152
543	181	152
544	182	151
545	182	151
546	182	151
547	183	151
548	183	150
549	183	150
550	184	150
551	184	149
552	184	149
553	185	149
554	185	148
555	186	148
556	186	148
557	186	147
558	187	147
559	187	147
560	187	146
561	188	146
562	188	146
563	188	145
564	189	145
565	189	145
566	189	144
567	190	144
568	190	144
569	190	144
570	191	143
571	191	143
572	191	143
573	192	142
574	192	142
575	193	142
576	193	141
577	193	141
578	194	141
579	194	140
580	194	140
581	195	140
582	195	139
583	195	139
584	196	139
585	196	138
586	197	138
587	197	138
588	197	137
589	198	137
590	198	137
591	198	137
592	199	136
593	199	136
594	199	136
595	200	135
596	200	135
597	201	135
598	201	134
599	201	134
600	202	134
601	202	133
602	202	133
603	203	133
604	203	132
605	203	132
606	204	132
607	204	131
608	204	131
609	205	131
610	205	130
611	205	130
612	206	130
613	206	129
614	207	129
615	207	129
616	207	128
617	207	128
618	208	128
619	208	127
620	208	127
621	209	127
622	209	126
623	209	126
624	210	126
625	210	125
626	210	125
627	211	125
628	211	124
629	211	124
630	212	124
631	212	123
632	212	123
633	213	123
634	213	122
635	213	122
636	214	122
637	214	121
638	214	121
639	215	121
640	215	120
641	215	120
642	216	120
643	216	119
644	217	119
645	217	119
646	217	118
647	218	118
648	218	118
649	218	117
650	219	117
651	219	117
652	219	116
653	220	116
654	220	116
655	220	115
656	221	115
657	221	115
658	221	114
659	222	114
660	222	114
661	222	113
662	223	113
663	223	113
664	223	112
665	224	112
666	224	112
667	224	111
668	225	111
669	225	111
670	225	110
671	226	110
672	226	110
673	227	109
674	227	109
